STATION_KEY,ORDER_pdq,SEASONAL_ORDER_PDQ,AIC
13010103a,"(0, 1, 2)","(0, 1, 1)",688.82
13010202a,"(0, 1, 2)","(1, 1, 1)",634.57
13010302a,"(0, 1, 2)","(0, 1, 1)",676.83
13010402a,"(1, 1, 2)","(0, 1, 1)",658.85
13010403a,"(1, 1, 2)","(0, 1, 1)",672.95
13010601a,"(0, 1, 2)","(1, 1, 1)",644.78
13010701a,"(0, 1, 2)","(1, 1, 1)",681.16
13010702a,"(0, 1, 2)","(1, 1, 1)",657.09
13010902a,"(0, 1, 2)","(0, 1, 1)",667.45
13011002Z,"(0, 1, 2)","(0, 1, 1)",701.56
13020301a,"(0, 1, 2)","(0, 1, 1)",603.03
13020401a,"(0, 0, 2)","(1, 1, 1)",559.94
13020403f,"(0, 1, 2)","(1, 1, 1)",603.78
13020501a,"(0, 0, 2)","(0, 1, 1)",541.92
13020601a,"(0, 0, 2)","(0, 1, 1)",614.97
13020701a,"(0, 0, 2)","(0, 1, 1)",591.94
13020801a,"(0, 0, 2)","(1, 1, 1)",539.13
13020901a,"(0, 0, 2)","(0, 1, 1)",544.2
13021001a,"(0, 1, 2)","(0, 1, 1)",533.4
13021102a,"(0, 0, 2)","(0, 1, 1)",549.7
13021104a,"(0, 0, 2)","(0, 1, 1)",565.02
13021105f,"(0, 0, 2)","(0, 1, 1)",522.89
13021201a,"(0, 1, 2)","(0, 1, 1)",535.49
13021301a,"(0, 1, 2)","(0, 1, 1)",593.87
13021701a,"(0, 0, 2)","(0, 1, 1)",581.43
13021801a,"(1, 0, 2)","(0, 1, 1)",630.05
13021901a,"(0, 1, 2)","(0, 1, 1)",556.29
13030302a,"(0, 0, 2)","(0, 1, 1)",589.53
13030304a,"(0, 1, 2)","(0, 1, 1)",646.99
13030401a,"(0, 1, 2)","(1, 1, 1)",631.52
13030402a,"(0, 0, 2)","(0, 1, 1)",577.71
13030501a,"(1, 0, 2)","(0, 1, 1)",575.91
13030601a,"(0, 0, 2)","(0, 1, 1)",647.47
13030701a,"(2, 0, 0)","(1, 1, 1)",582.83
13030801a,"(0, 0, 2)","(0, 1, 1)",573.17
13030901a,"(0, 1, 2)","(0, 1, 1)",563.67
13030902a,"(0, 0, 2)","(0, 1, 1)",545.78
13031001a,"(0, 0, 2)","(0, 1, 1)",571.11
13040101a,"(0, 1, 2)","(0, 1, 1)",554.62
13040201a,"(0, 1, 2)","(1, 1, 1)",537.63
13040202a,"(1, 1, 2)","(0, 1, 1)",492.9
13040301a,"(0, 0, 2)","(0, 1, 1)",538.98
13040304a,"(0, 1, 2)","(1, 1, 1)",571.32
13040402a,"(0, 0, 2)","(0, 1, 1)",570.79
13040502a,"(0, 1, 2)","(0, 1, 1)",549.86
13040504a,"(0, 1, 2)","(0, 1, 1)",614.34
13040701a,"(0, 0, 2)","(1, 1, 1)",557.0
13040801a,"(0, 1, 2)","(0, 1, 1)",617.33
13041001a,"(0, 1, 2)","(0, 1, 1)",583.05
13041101a,"(0, 0, 2)","(0, 1, 1)",589.99
13041401a,"(0, 1, 2)","(0, 1, 1)",591.2
13050201a,"(1, 1, 2)","(0, 1, 1)",703.23
13050203a,"(0, 1, 2)","(0, 1, 1)",704.47
13050301a,"(0, 0, 2)","(1, 1, 1)",663.02
13050501a,"(0, 0, 2)","(1, 1, 1)",626.12
13050701a,"(0, 1, 2)","(0, 1, 1)",689.16
13050801a,"(0, 1, 2)","(1, 1, 1)",631.26
13050901a,"(1, 1, 2)","(0, 1, 1)",654.63
13051001a,"(0, 1, 2)","(0, 1, 1)",673.33
13051101a,"(0, 0, 2)","(1, 1, 1)",642.73
13051401a,"(0, 1, 2)","(1, 1, 1)",675.85
13051501a,"(0, 1, 2)","(0, 1, 1)",699.38
13051502a,"(0, 0, 2)","(1, 1, 1)",664.62
13051503a,"(0, 1, 2)","(1, 1, 1)",683.04
13051601a,"(0, 1, 2)","(0, 1, 1)",692.59
13060101a,"(0, 1, 2)","(0, 1, 1)",663.84
13060202a,"(0, 1, 2)","(0, 1, 1)",696.81
13060303a,"(0, 1, 2)","(1, 1, 1)",634.71
13060401a,"(0, 1, 2)","(0, 1, 1)",578.74
13060501a,"(0, 0, 2)","(1, 1, 1)",558.09
13060801a,"(0, 0, 2)","(1, 1, 1)",623.24
13060902a,"(0, 1, 2)","(0, 1, 1)",578.12
13060903a,"(0, 1, 2)","(1, 1, 1)",528.96
13061001a,"(0, 1, 2)","(1, 1, 1)",621.26
13061102a,"(0, 1, 2)","(1, 1, 1)",597.18
13061301a,"(0, 1, 2)","(0, 1, 1)",717.96
13070103a,"(0, 0, 2)","(1, 1, 1)",566.54
13070104a,"(0, 0, 2)","(1, 1, 1)",562.11
13070203a,"(1, 0, 2)","(0, 1, 1)",535.58
13070402a,"(0, 1, 2)","(1, 1, 1)",555.77
13070501a,"(0, 0, 2)","(1, 1, 1)",548.73
13070504a,"(1, 1, 2)","(0, 1, 1)",555.93
13070601a,"(1, 1, 2)","(0, 1, 1)",615.53
13070701a,"(0, 1, 2)","(0, 1, 1)",647.58
13071002a,"(1, 1, 2)","(0, 1, 1)",591.55
13071301a,"(0, 0, 2)","(0, 1, 1)",564.32
13080401a,"(1, 1, 2)","(0, 1, 1)",616.88
13080501a,"(0, 0, 2)","(1, 1, 1)",622.33
13080701a,"(0, 1, 2)","(0, 1, 1)",568.3
13081301a,"(0, 1, 2)","(0, 1, 1)",704.23
13081402a,"(0, 1, 2)","(0, 1, 1)",574.54
13081601a,"(0, 0, 2)","(0, 1, 1)",631.13
13090401a,"(1, 0, 2)","(0, 1, 1)",597.74
13100101a,"(0, 1, 2)","(0, 1, 1)",637.54
13100203a,"(0, 1, 2)","(1, 1, 1)",596.9
13100401a,"(0, 1, 2)","(0, 1, 1)",596.96
13100701a,"(1, 1, 2)","(0, 1, 1)",574.65
13100702a,"(0, 0, 2)","(0, 1, 1)",635.09
13110101a,"(0, 0, 2)","(0, 1, 1)",693.8
13110106a,"(0, 0, 2)","(0, 1, 1)",648.84
13110107a,"(0, 1, 2)","(0, 1, 1)",658.17
13110202a,"(0, 1, 2)","(1, 1, 1)",679.62
13110602a,"(0, 0, 2)","(0, 1, 1)",714.84
13120101a,"(0, 1, 2)","(1, 1, 1)",602.72
13120102a,"(1, 0, 2)","(0, 1, 1)",607.14
13120301a,"(0, 1, 2)","(0, 1, 1)",648.31
13120402a,"(1, 1, 2)","(0, 1, 1)",642.31
13120501a,"(0, 1, 2)","(0, 1, 1)",668.62
13120601a,"(1, 0, 2)","(0, 1, 1)",698.09
13121003a,"(0, 0, 2)","(0, 1, 1)",602.09
13121101a,"(0, 1, 2)","(0, 1, 1)",720.09
13710101e,"(0, 1, 2)","(1, 1, 1)",674.4
13710202a,"(0, 0, 2)","(1, 1, 1)",679.5
13710701a,"(0, 1, 2)","(0, 1, 1)",708.25
13710702a,"(0, 1, 2)","(0, 1, 1)",677.24
13710704a,"(0, 1, 2)","(0, 1, 1)",688.44
13710803a,"(0, 1, 2)","(1, 1, 1)",693.8
13711001a,"(0, 1, 2)","(1, 1, 1)",691.18
13711102a,"(0, 1, 2)","(0, 1, 1)",687.12
13720101a,"(0, 1, 2)","(1, 1, 1)",663.38
13720201a,"(1, 1, 2)","(0, 1, 1)",553.59
13730201a,"(0, 1, 2)","(0, 1, 1)",539.78
13740101a,"(0, 0, 2)","(1, 1, 1)",539.56
13740201a,"(0, 1, 2)","(0, 1, 1)",622.57
13750101a,"(0, 1, 2)","(1, 1, 1)",525.27
13760101a,"(0, 0, 2)","(1, 1, 1)",553.5
13760102a,"(0, 0, 2)","(0, 1, 1)",554.24
13760501a,"(0, 1, 2)","(0, 1, 1)",572.96
13770101a,"(0, 1, 2)","(0, 1, 1)",673.62
